participant,AID_instruction,age_gender,notification,VGPQ_before,VGPQ_during,info_of_task,stroop,IGT,corsi,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.6f1b1032-279d-4d43-bb4f-46b5367db95f.txt,33479,7781,24225,170457,57263,10901,"","","",53621,2020-12-18-22-29,2020-12-18-22-44,15
s.0de0fd9d-d703-4af1-a695-097a88024b23.txt,1722,2326,3768,"","","","","","",4820,2020-11-02-03-16,"",""
s.7562e46f-4356-4b0f-a2c2-44918c9e9aac.txt,25189,9941,25378,82186,77861,4919,"","","",8415,2020-11-23-16-55,"",""
s.93e6fc18-d6f4-4d9c-ac63-a8e3a25a38d3.txt,60853,8136,33833,156304,44107,3700,"","","",144929,2020-12-12-11-18,2020-12-12-11-36,18
s.c8261caf-0d10-4115-a1a1-16381cddba04.txt,79364,6727,10137,59746,15469,7453,"","","",44615,2020-12-11-16-36,2020-12-11-16-50,14
s.29a0ad81-cbad-4442-acdd-1268309f3da6.txt,21466,28621,1530,25147,1246721,4925,"","","",613122,2020-11-04-10-04,2020-11-04-11-31,87
s.ccf41ade-35f8-4cbf-944d-d4a3c8e73faa.txt,98104,7432,28476,98885,42969,9502,"","","",104104,2020-12-14-16-55,2020-12-14-17-09,14
s.fdb0d882-3b6e-41f2-948b-ee6f51ccfede.txt,30815,45213,10601,249495,42403,10538,"","","",450395,2020-11-09-02-56,2020-11-09-03-14,18
s.957b31bd-f169-4535-9049-adf46fd50c84.txt,51081,6222,5739,28565,13181,6626,"","","",47076,2020-12-17-17-31,2020-12-17-17-43,12
s.46e8b6ad-54a6-4a85-865a-f8935178e444.txt,362176,43478,11398,37747,49296,6096,"","","",526603,2020-11-04-09-41,"",""
s.95521a8f-c506-461a-8592-f45833af927a.txt,171076,19007,22295,146009,86264,12346,"","","",302964,2020-12-28-05-27,2020-12-28-05-51,24
s.b60b7e59-fb9a-46c9-b403-eb7f57140b9d.txt,52882,10567,20582,237331,55124,11268,"","","",69682,2020-12-12-16-19,2020-12-12-16-40,21
s.daaf4c26-87d0-415c-bc9e-5628b7e9daf9.txt,26006,8097,13144,106419,31839,3471,"","","",342910,2020-12-16-14-06,2020-12-16-14-21,15
s.7be8993c-bf25-4cb2-b334-2d211b7d04e2.txt,61784,10783,12280,53580,41627,7525,"","","",75651,2020-12-11-20-04,2020-12-11-20-21,17
s.3b55765e-f29b-4b10-89e9-762aa3d6c275.txt,43183,12426,36262,100532,65074,13683,"","","",79057,2020-11-18-16-19,2020-11-18-16-40,21
s.f0af051c-b83d-4f0c-8ddf-5bbf3b770171.txt,40992,11270,17435,61308,31436,14081,"","","",49310,2020-11-18-13-51,"",""
